date_time,bike_count,place
2020-06-30 01:01:47,5,"North Wharf Road, Paddington"
2020-06-29 22:34:32,5,"Royal Avenue 2, Chelsea"
2020-06-29 23:32:39,10,"Smith Square, Westminster"
2020-06-30 03:07:01,21,"Royal London Hospital, Whitechapel"
2020-06-29 21:59:24,0,"Kingsway, Covent Garden"
2020-06-30 01:13:49,13,"Lambeth North Station, Waterloo"
2020-06-29 22:49:35,15,"St. John's Wood Road, St. John's Wood"
2020-06-29 19:29:59,1,"Bedford Way, Bloomsbury"
2020-06-29 23:52:41,11,"Elizabeth Bridge, Victoria"
2020-06-29 21:57:23,5,"South Audley Street, Mayfair"
2020-06-30 00:07:42,7,"St Mary's Hospital, Paddington"
2020-06-29 22:09:30,10,"Claverton Street, Pimlico"
2020-06-29 21:19:13,2,"Montpelier Street, Knightsbridge"
2020-06-29 23:49:38,4,"Kensington Olympia Station, Olympia"
2020-06-30 00:11:43,2,"St. George's Square, Pimlico"
2020-06-30 00:43:47,25,"Swan Street, The Borough"
2020-06-29 19:29:59,17,"Knaresborough Place, Earl's Court"
2020-06-29 20:28:07,2,"Geraldine Street, Elephant & Castle"
2020-06-29 20:47:09,19,"Curlew Street, Shad Thames"
2020-06-29 23:38:38,3,"Vincent Square, Westminster"
2020-06-29 21:11:12,0,"Serpentine Car Park, Hyde Park"
2020-06-29 23:26:39,1,"Marylebone Lane, Marylebone"
2020-06-30 03:02:02,21,"Putney Pier, Wandsworth"
2020-06-29 21:55:23,6,"Albert Gate, Hyde Park"
2020-06-29 21:47:21,0,"Rathbone Street, Fitzrovia"
2020-06-30 03:02:02,2,"Black Lion Gate, Kensington Gardens"
2020-06-30 03:11:02,18,"Long Lane , Bermondsey"
2020-06-30 00:25:43,30,"Embankment (Savoy), Strand"
2020-06-29 23:05:37,19,"Black Prince Road, Vauxhall"
2020-06-29 23:42:38,1,"Foley Street, Fitzrovia"
2020-06-30 02:09:55,12,"Grove End Road, St. John's Wood"
2020-06-30 02:51:00,0,"Wells Street, Fitzrovia"
2020-06-29 22:19:30,18,"Tyers Gate, Bermondsey"
2020-06-29 20:39:09,3,"The Tennis Courts, The Regent's Park"
2020-06-29 22:04:28,18,"Warwick Row, Westminster"
2020-06-29 23:11:35,13,"Dickens Square, Borough"
2020-06-29 20:37:09,0,"Sackville Street, Mayfair"
2020-06-29 23:11:35,9,"Baldwin Street, St. Luke's"
2020-06-29 23:12:35,20,"Bermondsey Street, Bermondsey"
2020-06-29 23:21:37,3,"Palissy Street, Shoreditch"
2020-06-29 20:26:07,6,"Clifton Street, Shoreditch"
2020-06-30 00:56:49,11,"Ontario Street, Elephant & Castle"
2020-06-30 00:43:47,10,"St. Martin's Street, West End"
2020-06-30 02:19:56,25,"Graham Street, Angel"
2020-06-29 21:53:24,3,"New North Road 1, Hoxton"
2020-06-29 23:49:38,10,"New North Road 2, Hoxton"
2020-06-29 23:04:35,3,"Prince Albert Road, The Regent's Park"
2020-06-29 23:38:38,19,"Eastbourne Mews, Paddington"
2020-06-29 21:23:14,2,"Bunhill Row, Moorgate"
2020-06-30 00:33:45,11,"Nevern Place, Earl's Court"
2020-06-29 23:38:38,28,"Palace Gardens Terrace, Notting Hill"
2020-06-29 21:30:19,8,"Concert Hall Approach 1, South Bank"
2020-06-29 19:55:03,19,"Tavistock Street, Covent Garden"
2020-06-30 03:02:02,7,"Concert Hall Approach 2, South Bank"
